id,name,name_en,name_cn,x_pos,y_pos,address,parking_count
ST0349,남대전등기소 (대전지방법원),남대전등기소 (대전지방법원),남대전등기소 (대전지방법원),36.310285,127.440278,석교동 8-10,0
ST0351,석교동 스마일약국,석교동 스마일약국,석교동 스마일약국,36.306301,127.447838,석교동 87-3,1
ST0352,성모초등학교 입구 정류장,성모초등학교 입구 정류장,성모초등학교 입구 정류장,36.323238,127.418227,대흥동 525-5,1
ST0353,중구청 정문,중구청 정문,중구청 정문,36.325455,127.422024,대흥동 499-1,2
ST0354,대전성모병원 교수회관,대전성모병원 교수회관,대전성모병원 교수회관,36.323650,127.419397,대흥동 524-1,0
ST0355,대흥네거리 DS평생교육원,대흥네거리 DS평생교육원,대흥네거리 DS평생교육원,36.324779,127.429164,대흥동 161-8,0
ST0356,중촌네거리 선화동 방면,중촌네거리 선화동 방면,중촌네거리 선화동 방면,36.336832,127.416692,선화동 104-4,0
ST0357,삼성동 대전축산농협,삼성동 대전축산농협,삼성동 대전축산농협,36.340669,127.421506,삼성동 363-4,3
ST0358,선화동 현대아파트(102동),선화동 현대아파트(102동),선화동 현대아파트(102동),36.332763,127.418845,선화동 151-1,0
ST0359,선화동 김영근성형외과,선화동 김영근성형외과,선화동 김영근성형외과,36.335728,127.416890,선화동 161-1,0
ST0360,선화동 금강회관,선화동 금강회관,선화동 금강회관,36.334306,127.420776,선화동 73-5,0
ST0361,선화파출소,선화파출소,선화파출소,36.334412,127.421616,선화동 78-9,1
ST0362,둔산동 현대해상,둔산동 현대해상,둔산동 현대해상,36.352974,127.382773,둔산동 1309,0
ST0363,을지대학병원,을지대학병원,을지대학병원,36.355597,127.382751,둔산동 1306,1
ST0364,대전경찰청,대전경찰청,대전경찰청,36.353848,127.385255,둔산동 1399,1
ST0365,시교육청옆 환승지 ,시교육청옆 환승지 ,시교육청옆 환승지 ,36.352524,127.384431,둔산동 1294,0
ST0366,충남대학교 약학대학,충남대학교 약학대학,충남대학교 약학대학,36.368280,127.343517,대전광역시 유성구 궁동 220,1
ST0367,충남대학교 생명시스템과학대학,충남대학교 생명시스템과학대학,충남대학교 생명시스템과학대학,36.375907,127.343327,궁동 220,0
ST0368,충남대학교 인문대학,충남대학교 인문대학,충남대학교 인문대학,36.368768,127.341742,궁동 220,0
ST0369,충남대학교 상록회관 입구,충남대학교 상록회관 입구,충남대학교 상록회관 입구,36.369338,127.351133,대전광역시 유성구 어은동 216,1
